,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations_per_window,n_estimators
0,TSF_Dilation,ALL_AVERAGE,0.4897911999999999,2.6355396,1.0814996,9703.2,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",13.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5758892,13.099812,5.39717,48516.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",13.0,100
0,TSF_Dilation,ALL_AVERAGE,0.581248,26.1980136,10.7809116,97032.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",13.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5237816,3.0171859999999997,1.2545739999999999,11196.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",15.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5712959999999999,15.078758799999997,6.222097199999999,55980.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",15.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5712016,30.101356399999997,12.346028,111960.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",15.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5104944,3.4361804,1.4188716000000001,12688.8,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",17.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5450427999999999,17.05637,7.066992399999999,63444.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",17.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5502203999999999,34.075613999999995,13.9421948,126888.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",17.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5512928,3.8438472000000004,1.586608,14181.6,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",19.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5422968,19.030863999999998,7.835861599999999,70908.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",19.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5555456,38.0824132,15.7282772,141816.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",19.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5127092000000001,4.221158,1.7433544,15674.4,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",21.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5611771999999999,21.016196,8.692208,78372.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",21.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5441568,42.131890399999996,17.3986544,156744.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",21.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5145888,4.621392800000001,1.9104676,17167.2,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",23.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5457219999999999,22.945388400000002,9.559956799999998,85836.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",23.0,100
0,TSF_Dilation,ALL_AVERAGE,0.558626,45.786540800000004,18.986482000000002,171672.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",23.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5594452,5.0265856,2.0835536,18660.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",25.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5307384,24.85376,10.3478472,93300.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",25.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5578876,49.5507408,20.527682,186600.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",25.0,200
0,TSF_Dilation,ALL_AVERAGE,0.510848,5.4575232,2.2673456,20152.8,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",27.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5411148,26.8091784,11.097038000000003,100764.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",27.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5422440000000001,53.750809600000004,22.319594,201528.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",27.0,200
0,TSF_Dilation,ALL_AVERAGE,0.47868520000000003,5.7740936,2.4019992,21645.6,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",29.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5547708,30.267108799999995,13.665340800000001,108228.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",29.0,100
0,TSF_Dilation,ALL_AVERAGE,0.528626,60.11541320000001,24.7851124,216456.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",29.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5072268,6.538314400000001,2.698324,23138.4,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",31.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5447500000000001,32.018705999999995,13.2265228,115692.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",31.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5568036,63.96953479999999,26.3562084,231384.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",31.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5187508,6.955743999999999,2.8686756000000004,24631.2,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",33.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5427824,33.9367456,14.003518,123156.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",33.0,100
0,TSF_Dilation,ALL_AVERAGE,0.546824,67.8015556,27.9256528,246312.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",33.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5167796,7.301852799999999,3.0122231999999993,26124.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",35.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5448892,36.341054400000004,14.879927599999998,130620.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",35.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5839296,71.8661012,29.546600799999997,261240.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",35.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5079372,7.7812896,3.2190276,27616.8,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",37.0,20
0,TSF_Dilation,ALL_AVERAGE,0.52445,37.9266356,15.687261999999999,138084.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",37.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5345348,76.2707664,31.402902800000003,276168.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",37.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5063056,8.268796000000002,3.3875651999999996,29109.6,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",39.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5635812,40.4243652,16.7325592,145548.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",39.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5430928,79.83045360000001,32.9859376,291096.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",39.0,200
0,TSF_Dilation,ALL_AVERAGE,0.48721999999999993,8.65552,3.5664975999999995,30602.4,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",41.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5222692,42.38945399999999,17.4261248,153012.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",41.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5430732,84.3187688,34.814078800000004,306024.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",41.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5040848,9.1981024,3.767362,32095.2,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",43.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5431752,44.251629599999994,18.2226948,160476.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",43.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5306932,88.80021,36.6770676,320952.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",43.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5225455999999999,9.4906252,3.9329664,33588.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",45.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5638612,46.567767599999996,19.273096,167940.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",45.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5480808,92.4622284,38.3956008,335880.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",45.0,200
0,TSF_Dilation,ALL_AVERAGE,0.4957503999999999,9.8354716,4.1288864,35080.8,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",47.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5391552000000001,48.2113284,20.1609544,175404.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",47.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5501872,96.5667368,39.8907132,350808.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",47.0,200
0,TSF_Dilation,ALL_AVERAGE,0.45774719999999997,10.384182000000001,4.2605424,36573.6,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",49.0,20
0,TSF_Dilation,ALL_AVERAGE,0.49498720000000007,50.39737800000001,20.9386164,182868.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",49.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5410808,100.89397480000001,41.4441356,365736.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120]",49.0,200
0,TSF_Dilation,ALL_AVERAGE,0.6003756,0.2867176,0.10180439999999998,746.4,1.0,1.0,"[3, 30, 60, 90, 120, 150]",1.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6605616000000001,1.3777172,0.48098279999999993,3732.0,1.0,1.0,"[3, 30, 60, 90, 120, 150]",1.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6705539999999999,2.7308076,0.9638952000000001,7464.0,1.0,1.0,"[3, 30, 60, 90, 120, 150]",1.0,200
0,TSF_Dilation,ALL_AVERAGE,0.600176,0.7256912,0.2806108,2239.2,1.0,1.0,"[3, 30, 60, 90, 120, 150]",3.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6289624,3.5954631999999997,1.3643928,11196.0,1.0,1.0,"[3, 30, 60, 90, 120, 150]",3.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6450488,6.9344079999999995,2.6446619999999994,22392.0,1.0,1.0,"[3, 30, 60, 90, 120, 150]",3.0,200
0,TSF_Dilation,ALL_AVERAGE,0.584328,1.1315684,0.44326160000000003,3732.0,1.0,1.0,"[3, 30, 60, 90, 120, 150]",5.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6015916,5.608627200000001,2.1957772,18660.0,1.0,1.0,"[3, 30, 60, 90, 120, 150]",5.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6049599999999999,11.144929200000002,4.3590296,37320.0,1.0,1.0,"[3, 30, 60, 90, 120, 150]",5.0,200
