,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.69065,9.78942,1.98351,17400,0.2,1.0,[1],29,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,16.75671,2.32924,17400,0.2,1.0,[1],29,200
10,TSF_Dilation,DistalPhalanxTW,0.66906,11.98059,1.94093,17400,0.2,1.0,[1],29,200
11,TSF_Dilation,ECG200,0.79,4.30007,2.41451,17400,0.2,1.0,[1],29,200
12,TSF_Dilation,ECGFiveDays,0.89547,4.4831,7.77396,34800,0.2,1.0,[1],29,200
13,TSF_Dilation,ItalyPowerDemand,0.94849,3.75878,3.87593,0,0.2,1.0,[1],29,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.48052,11.14556,1.90449,17400,0.2,1.0,[1],29,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.64605,18.90485,2.49116,17400,0.2,1.0,[1],29,200
16,TSF_Dilation,MiddlePhalanxTW,0.48701,14.46977,1.97503,17400,0.2,1.0,[1],29,200
17,TSF_Dilation,OliveOil,0.43333,14.95514,7.94111,69600,0.2,1.0,[1],29,200
18,TSF_Dilation,Plane,0.99048,9.91097,4.85796,34800,0.2,1.0,[1],29,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.7561,10.04614,2.08402,17400,0.2,1.0,[1],29,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.62887,20.19153,2.29289,17400,0.2,1.0,[1],29,200
21,TSF_Dilation,ProximalPhalanxTW,0.77073,11.75052,2.02197,17400,0.2,1.0,[1],29,200
22,TSF_Dilation,SyntheticControl,0.79333,9.24131,2.11799,17400,0.2,1.0,[1],29,200
23,TSF_Dilation,TwoLeadECG,0.50044,2.57852,4.37446,17400,0.2,1.0,[1],29,200
24,TSF_Dilation,Wine,0.5,8.78181,5.08531,52200,0.2,1.0,[1],29,200
0,TSF_Dilation,ArrowHead,0.38286,8.64898,8.3778,59400,0.2,1.0,[1],33,200
1,TSF_Dilation,Beef,0.2,12.53881,8.17733,79200,0.2,1.0,[1],33,200
2,TSF_Dilation,BeetleFly,0.6,10.59496,7.92911,79200,0.2,1.0,[1],33,200
3,TSF_Dilation,BirdChicken,0.9,11.25463,7.77872,79200,0.2,1.0,[1],33,200
4,TSF_Dilation,Car,0.23333,17.27731,9.87649,79200,0.2,1.0,[1],33,200
5,TSF_Dilation,CBF,0.63111,6.88899,10.12815,39600,0.2,1.0,[1],33,200
6,TSF_Dilation,Coffee,0.82143,7.87567,5.75021,59400,0.2,1.0,[1],33,200
7,TSF_Dilation,DiatomSizeReduction,0.91176,7.24992,11.44309,59400,0.2,1.0,[1],33,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.70504,12.48935,2.15346,19800,0.2,1.0,[1],33,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,19.38277,2.71866,19800,0.2,1.0,[1],33,200
10,TSF_Dilation,DistalPhalanxTW,0.67626,15.58581,2.25435,19800,0.2,1.0,[1],33,200
11,TSF_Dilation,ECG200,0.79,3.85803,2.11631,19800,0.2,1.0,[1],33,200
12,TSF_Dilation,ECGFiveDays,0.91405,5.57422,9.13278,39600,0.2,1.0,[1],33,200
13,TSF_Dilation,ItalyPowerDemand,0.90962,3.87129,4.4313,0,0.2,1.0,[1],33,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.37013,15.08493,2.54478,19800,0.2,1.0,[1],33,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.68041,20.00333,2.70637,19800,0.2,1.0,[1],33,200
16,TSF_Dilation,MiddlePhalanxTW,0.51948,16.99418,2.33318,19800,0.2,1.0,[1],33,200
17,TSF_Dilation,OliveOil,0.66667,14.30127,8.43118,79200,0.2,1.0,[1],33,200
18,TSF_Dilation,Plane,0.99048,8.82015,4.76465,39600,0.2,1.0,[1],33,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.80488,11.0412,2.24437,19800,0.2,1.0,[1],33,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.61168,19.34025,2.59274,19800,0.2,1.0,[1],33,200
21,TSF_Dilation,ProximalPhalanxTW,0.75122,15.95864,2.31056,19800,0.2,1.0,[1],33,200
22,TSF_Dilation,SyntheticControl,0.79333,10.90099,2.61499,19800,0.2,1.0,[1],33,200
23,TSF_Dilation,TwoLeadECG,0.50044,3.34182,5.76797,19800,0.2,1.0,[1],33,200
24,TSF_Dilation,Wine,0.51852,14.3923,6.30721,59400,0.2,1.0,[1],33,200
0,TSF_Dilation,ArrowHead,0.34286,9.17982,9.66093,66600,0.2,1.0,[1],37,200
1,TSF_Dilation,Beef,0.2,13.57992,8.97339,88800,0.2,1.0,[1],37,200
2,TSF_Dilation,BeetleFly,0.6,11.92069,8.47644,88800,0.2,1.0,[1],37,200
3,TSF_Dilation,BirdChicken,0.75,11.98749,8.9966,88800,0.2,1.0,[1],37,200
4,TSF_Dilation,Car,0.23333,23.40158,11.47529,88800,0.2,1.0,[1],37,200
5,TSF_Dilation,CBF,0.38,6.9004,11.45489,44400,0.2,1.0,[1],37,200
6,TSF_Dilation,Coffee,0.85714,8.46586,6.68075,66600,0.2,1.0,[1],37,200
7,TSF_Dilation,DiatomSizeReduction,0.9281,7.86382,12.93344,66600,0.2,1.0,[1],37,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.69784,16.58103,2.41204,22200,0.2,1.0,[1],37,200
