,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,max_dilation_size,n_estimators,n_intervals
23,TSF_Dilation,TwoLeadECG,0.87182,1.57637,2.12036,12000,0.07266,0.930360000000002,0.3634200000000001,1.0,1.0,"[3, 4, 5, 6]",2,400,10
24,TSF_Dilation,Wine,0.81481,1.94392,1.09222,12000,0.07071,1.0463000000000005,0.6069599999999998,1.0,1.0,"[3, 4, 5, 6]",2,400,10
0,TSF_Dilation,ArrowHead,0.78286,2.22594,1.55651,15000,0.0906,1.2500199999999986,0.6149999999999991,1.0,1.0,"[3, 4, 5, 6]",2,500,10
1,TSF_Dilation,Beef,0.76667,2.27868,1.3037,15000,0.10549,1.2428500000000002,0.6598199999999999,1.0,1.0,"[3, 4, 5, 6]",2,500,10
2,TSF_Dilation,BeetleFly,0.95,2.01675,1.28493,15000,0.08826,1.2059899999999997,0.4544200000000001,1.0,1.0,"[3, 4, 5, 6]",2,500,10
3,TSF_Dilation,BirdChicken,0.7,2.0246,1.23908,15000,0.15567,1.159930000000002,0.4440500000000007,1.0,1.0,"[3, 4, 5, 6]",2,500,10
4,TSF_Dilation,Car,0.78333,2.65833,1.35999,15000,0.09587,1.3024900000000017,0.9987599999999994,1.0,1.0,"[3, 4, 5, 6]",2,500,10
5,TSF_Dilation,CBF,0.95556,2.11598,2.42151,15000,0.0893,1.2345099999999982,0.5317799999999995,1.0,1.0,"[3, 4, 5, 6]",2,500,10
6,TSF_Dilation,Coffee,1.0,2.03092,1.29559,15000,0.09538,1.2065800000000004,0.46233999999999864,1.0,1.0,"[3, 4, 5, 6]",2,500,10
7,TSF_Dilation,DiatomSizeReduction,0.95425,1.97932,1.79376,15000,0.09261,1.176000000000001,0.44460999999999923,1.0,1.0,"[3, 4, 5, 6]",2,500,10
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.7482,6.98231,1.43594,15000,0.08499,1.6820200000000018,4.950019999999997,1.0,1.0,"[3, 4, 5, 6]",2,500,10
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.77899,11.66012,1.65765,15000,0.08616,1.9728600000000005,9.311999999999994,1.0,1.0,"[3, 4, 5, 6]",2,500,10
10,TSF_Dilation,DistalPhalanxTW,0.70504,8.23891,1.48482,15000,0.08323,1.7092000000000007,6.179780000000001,1.0,1.0,"[3, 4, 5, 6]",2,500,10
11,TSF_Dilation,ECG200,0.85,2.65577,1.35329,15000,0.08351,1.2896699999999999,1.0208499999999994,1.0,1.0,"[3, 4, 5, 6]",2,500,10
12,TSF_Dilation,ECGFiveDays,0.96632,2.00596,2.42941,15000,0.09044,1.1929800000000004,0.45765999999999957,1.0,1.0,"[3, 4, 5, 6]",2,500,10
13,TSF_Dilation,ItalyPowerDemand,0.97182,2.30841,2.50516,15000,0.09501,1.3106400000000011,0.6352899999999998,1.0,1.0,"[3, 4, 5, 6]",2,500,10
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.6039,7.71435,1.47449,15000,0.08599,1.7663100000000005,5.581910000000004,1.0,1.0,"[3, 4, 5, 6]",2,500,10
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.82818,12.14682,1.69468,15000,0.08608,1.9303799999999973,9.859170000000006,1.0,1.0,"[3, 4, 5, 6]",2,500,10
16,TSF_Dilation,MiddlePhalanxTW,0.57143,10.60398,1.47072,15000,0.08398,1.6932400000000007,8.554270000000002,1.0,1.0,"[3, 4, 5, 6]",2,500,10
17,TSF_Dilation,OliveOil,0.93333,2.10809,1.26592,15000,0.08547,1.1951199999999995,0.5601199999999996,1.0,1.0,"[3, 4, 5, 6]",2,500,10
18,TSF_Dilation,Plane,1.0,3.14758,1.41994,15000,0.08957,1.3599499999999989,1.4342600000000014,1.0,1.0,"[3, 4, 5, 6]",2,500,10
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.85854,7.33082,1.57867,15000,0.08901,1.740760000000003,5.223270000000001,1.0,1.0,"[3, 4, 5, 6]",2,500,10
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.89003,11.24941,1.70781,15000,0.08727,1.9777999999999993,8.914029999999993,1.0,1.0,"[3, 4, 5, 6]",2,500,10
