,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
6,CBOSS_Dilation,Coffee,0.96429,1.38278,1.449,12.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.85294,1.38073,13.35199,86.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.72662,2.40915,6.55292,14.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.7029,3.00616,12.58488,6.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.61871,2.39269,6.62046,2.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
11,CBOSS_Dilation,ECG200,0.83,1.57103,4.83148,26.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.90825,1.407,28.40926,14.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.90476,1.29747,23.42361,14.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.61688,2.37462,7.25101,28.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.62543,2.83943,11.13377,16.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.53247,2.31301,7.43222,8.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
17,CBOSS_Dilation,OliveOil,0.73333,1.56265,0.75223,6.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
18,CBOSS_Dilation,Plane,1.0,1.74123,5.07257,16.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.86341,2.35278,9.23025,12.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.72165,2.81838,12.22156,0.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.74634,2.36469,9.26331,16.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.99,2.0109,13.80492,16.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.94205,1.25661,26.70528,0.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
24,CBOSS_Dilation,Wine,0.59259,1.35303,0.37674,0.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
25,CBOSS_Dilation,ALL_AVERAGE,0.7911332,1.8830903999999997,10.205319200000002,23.84,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,256
0,CBOSS_Dilation,ArrowHead,0.79429,1.36168,8.18003,34.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
1,CBOSS_Dilation,Beef,0.66667,1.40847,1.5433,8.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
2,CBOSS_Dilation,BeetleFly,0.9,1.2674,1.072,18.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
3,CBOSS_Dilation,BirdChicken,0.9,1.34009,1.09749,92.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
