,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,dilations_per_interval,n_estimators,n_intervals
18,TSF_Dilation,Plane,0.6381,115.67206,60.03266,3000,5.24975,73.95565000000003,36.330579999999976,1.0,1.0,[0],1.0,200,1000
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.83902,266.78295,66.19304,3000,5.23729,100.25212000000002,161.13437,1.0,1.0,[0],1.0,200,1000
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.42955,423.09863,68.48281,3000,5.33905,121.97105000000005,295.65572000000003,1.0,1.0,[0],1.0,200,1000
21,TSF_Dilation,ProximalPhalanxTW,0.5122,311.11132,63.26473,3000,5.34581,97.01612999999998,208.6072900000002,1.0,1.0,[0],1.0,200,1000
22,TSF_Dilation,SyntheticControl,0.96333,212.58631,69.28691,3000,5.62206,83.93885999999998,122.87844999999999,1.0,1.0,[0],1.0,200,1000
23,TSF_Dilation,TwoLeadECG,0.84021,61.14299,128.75861,3000,5.23862,53.71915000000002,2.066489999999999,1.0,1.0,[0],1.0,200,1000
24,TSF_Dilation,Wine,0.55556,85.76407,56.10523,3000,5.25516,69.44392,10.937149999999995,1.0,1.0,[0],1.0,200,1000
0,TSF_Dilation,ArrowHead,0.36,234.37005,236.22684,9000,16.44087,195.77845999999997,22.009039999999988,1.0,1.0,[0],1.0,200,3000
1,TSF_Dilation,Beef,0.6,257.07504,172.56928,9000,16.87471,214.83246999999997,25.21447,1.0,1.0,[0],1.0,200,3000
2,TSF_Dilation,BeetleFly,0.65,221.35092,163.98529,9000,16.1427,198.90307000000004,6.172200000000001,1.0,1.0,[0],1.0,200,3000
3,TSF_Dilation,BirdChicken,0.85,222.01294,161.8885,9000,16.43403,197.94917999999993,7.490129999999996,1.0,1.0,[0],1.0,200,3000
4,TSF_Dilation,Car,0.28333,349.65175,196.75222,9000,16.15455,277.83326999999997,55.518890000000006,1.0,1.0,[0],1.0,200,3000
5,TSF_Dilation,CBF,0.93111,197.66928,385.82217,9000,16.43383,167.54820000000004,13.544769999999998,1.0,1.0,[0],1.0,200,3000
6,TSF_Dilation,Coffee,0.96429,213.93169,159.85779,9000,16.29659,190.28183,7.221249999999997,1.0,1.0,[0],1.0,200,3000
7,TSF_Dilation,DiatomSizeReduction,0.9183,202.89381,319.52553,9000,16.19422,178.57748000000004,7.986230000000008,1.0,1.0,[0],1.0,200,3000
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.38129,767.9994,176.77781,9000,16.83516,302.2165299999997,448.77648999999985,1.0,1.0,[0],1.0,200,3000
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,1285.2628,204.33841,9000,15.85283,359.37844,909.8672100000002,1.0,1.0,[0],1.0,200,3000
10,TSF_Dilation,DistalPhalanxTW,0.47482,917.79748,173.86426,9000,16.10913,302.40354999999994,599.1214299999998,1.0,1.0,[0],1.0,200,3000
11,TSF_Dilation,ECG200,0.63,277.9779,175.54065,9000,15.93529,202.85592999999997,59.038269999999976,1.0,1.0,[0],1.0,200,3000
12,TSF_Dilation,ECGFiveDays,0.97096,188.14367,391.08803,9000,16.10894,166.01450000000006,5.886069999999999,1.0,1.0,[0],1.0,200,3000
13,TSF_Dilation,ItalyPowerDemand,0.57823,203.55162,292.4858,9000,15.8983,162.15461999999997,25.356180000000005,1.0,1.0,[0],1.0,200,3000
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.17532,848.50542,178.17882,9000,15.40619,295.53505999999993,537.4019499999998,1.0,1.0,[0],1.0,200,3000
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.45361,1399.14613,213.32629,9000,15.83805,361.95572999999996,1021.1872300000005,1.0,1.0,[0],1.0,200,3000
16,TSF_Dilation,MiddlePhalanxTW,0.33766,1211.98754,178.96102,9000,16.05517,298.32896999999986,897.4465600000002,1.0,1.0,[0],1.0,200,3000
17,TSF_Dilation,OliveOil,0.53333,258.39166,171.84527,9000,16.59026,224.56463000000008,17.092239999999993,1.0,1.0,[0],1.0,200,3000
18,TSF_Dilation,Plane,0.64762,340.23299,175.91235,9000,15.32021,215.62197000000003,109.13818000000002,1.0,1.0,[0],1.0,200,3000
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.79512,796.86582,193.39187,9000,15.61676,301.5817500000003,479.5083799999999,1.0,1.0,[0],1.0,200,3000
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.36426,1245.30907,205.1433,9000,15.84423,354.99379999999996,874.3100600000002,1.0,1.0,[0],1.0,200,3000
21,TSF_Dilation,ProximalPhalanxTW,0.43415,931.27259,189.04363,9000,15.96457,302.75318999999996,612.39002,1.0,1.0,[0],1.0,200,3000
22,TSF_Dilation,SyntheticControl,0.96333,623.39175,202.981,9000,15.66817,244.98865999999998,362.5741899999998,1.0,1.0,[0],1.0,200,3000
23,TSF_Dilation,TwoLeadECG,0.83845,180.02925,391.28463,9000,15.6325,158.48622000000006,5.775909999999998,1.0,1.0,[0],1.0,200,3000
24,TSF_Dilation,Wine,0.64815,255.39221,169.16556,9000,15.21549,209.71807999999996,30.314820000000005,1.0,1.0,[0],1.0,200,3000
0,TSF_Dilation,ArrowHead,0.30286,386.83074,385.81129,15000,27.43614,323.21244,36.03428000000002,1.0,1.0,[0],1.0,200,5000
1,TSF_Dilation,Beef,0.53333,420.57227,282.89866,15000,27.3122,351.54576999999995,41.56575,1.0,1.0,[0],1.0,200,5000
2,TSF_Dilation,BeetleFly,0.65,360.33291,262.09904,15000,27.11341,323.35639999999984,9.728410000000002,1.0,1.0,[0],1.0,200,5000
3,TSF_Dilation,BirdChicken,0.8,374.92404,275.67554,15000,27.24018,335.16030999999987,12.38556000000001,1.0,1.0,[0],1.0,200,5000
4,TSF_Dilation,Car,0.23333,599.14543,335.8001,15000,28.35008,478.41792999999984,92.21157000000002,1.0,1.0,[0],1.0,200,5000
5,TSF_Dilation,CBF,0.94444,331.59234,646.49518,15000,26.30638,282.5069300000003,22.628709999999973,1.0,1.0,[0],1.0,200,5000
6,TSF_Dilation,Coffee,0.96429,355.11275,262.79017,15000,27.22451,315.75499,11.991010000000003,1.0,1.0,[0],1.0,200,5000
7,TSF_Dilation,DiatomSizeReduction,0.92484,329.81369,520.78525,15000,26.74071,289.8133000000001,13.115100000000002,1.0,1.0,[0],1.0,200,5000
