,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_shapelet_samples,max_shapelet_length,max_shapelets
5,STC_Dilation,CBF,0.95556,12.7928,8.71326,10000,10000,,30000
6,STC_Dilation,Coffee,1.0,15.87244,0.92291,10000,10000,,30000
7,STC_Dilation,DiatomSizeReduction,0.93791,15.85316,4.25846,10000,10000,,30000
8,STC_Dilation,DistalPhalanxOutlineAgeGroup,0.74101,164.06273,15.81845,10000,10000,,30000
9,STC_Dilation,DistalPhalanxOutlineCorrect,0.80072,381.80181,39.12858,10000,10000,,30000
10,STC_Dilation,DistalPhalanxTW,0.66906,169.51563,15.44259,10000,10000,,30000
11,STC_Dilation,ECG200,0.87,24.04339,3.84284,10000,10000,,30000
12,STC_Dilation,ECGFiveDays,0.99419,9.59053,7.31086,10000,10000,,30000
13,STC_Dilation,ItalyPowerDemand,0.95918,11.18809,9.81166,10000,10000,,30000
14,STC_Dilation,MiddlePhalanxOutlineAgeGroup,0.58442,170.47094,17.56281,10000,10000,,30000
15,STC_Dilation,MiddlePhalanxOutlineCorrect,0.8488,376.07054,40.19411,10000,10000,,30000
16,STC_Dilation,MiddlePhalanxTW,0.57792,187.36171,16.69481,10000,10000,,30000
17,STC_Dilation,OliveOil,0.83333,26.51023,1.40998,10000,10000,,30000
18,STC_Dilation,Plane,1.0,35.72648,5.29722,10000,10000,,30000
19,STC_Dilation,ProximalPhalanxOutlineAgeGroup,0.83902,163.68694,22.08106,10000,10000,,30000
20,STC_Dilation,ProximalPhalanxOutlineCorrect,0.89347,378.12697,40.17875,10000,10000,,30000
21,STC_Dilation,ProximalPhalanxTW,0.80488,173.84197,21.44471,10000,10000,,30000
22,STC_Dilation,SyntheticControl,0.99667,96.32382,20.77042,10000,10000,,30000
23,STC_Dilation,TwoLeadECG,0.9921,8.52626,6.97725,10000,10000,,30000
24,STC_Dilation,Wine,0.87037,23.63221,2.93301,10000,10000,,30000
0,STC_Dilation,ArrowHead,0.77714,23.40101,4.19058,10000,10000,,50000
1,STC_Dilation,Beef,0.73333,35.82673,1.55123,10000,10000,,50000
2,STC_Dilation,BeetleFly,0.95,39.81746,1.03684,10000,10000,,50000
3,STC_Dilation,BirdChicken,0.9,36.97558,1.04729,10000,10000,,50000
4,STC_Dilation,Car,0.88333,79.22438,4.09492,10000,10000,,50000
5,STC_Dilation,CBF,0.96778,12.77522,9.62842,10000,10000,,50000
6,STC_Dilation,Coffee,0.96429,15.48503,0.83044,10000,10000,,50000
7,STC_Dilation,DiatomSizeReduction,0.94118,16.04528,4.39532,10000,10000,,50000
8,STC_Dilation,DistalPhalanxOutlineAgeGroup,0.7482,164.03807,15.87237,10000,10000,,50000
9,STC_Dilation,DistalPhalanxOutlineCorrect,0.80435,374.78534,39.1917,10000,10000,,50000
10,STC_Dilation,DistalPhalanxTW,0.66906,169.52078,15.37838,10000,10000,,50000
11,STC_Dilation,ECG200,0.87,24.14036,3.83645,10000,10000,,50000
12,STC_Dilation,ECGFiveDays,0.99535,9.87344,7.48865,10000,10000,,50000
