,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations_per_win_size,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.77561,22.17975,6.88734,2960,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.86254,137.66202,10.43787,11640,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.67317,12.2912,6.77874,6960,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.76333,20.93953,8.49246,15160,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.96752,10.38553,33.62198,840,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
24,CBOSS_Dilation,Wine,0.81481,24.24908,2.03407,920,40,"[10, 20, 30, 40, 50, 60, 70]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.83429,18.44979,5.9622,6840,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
1,CBOSS_Dilation,Beef,0.63333,10.74798,1.25473,9360,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
2,CBOSS_Dilation,BeetleFly,0.8,14.73434,0.89116,4720,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
3,CBOSS_Dilation,BirdChicken,0.95,20.0199,0.83221,10840,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
4,CBOSS_Dilation,Car,0.83333,34.40176,2.36442,17560,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
5,CBOSS_Dilation,CBF,0.86556,9.39725,25.61265,1480,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
6,CBOSS_Dilation,Coffee,0.96429,7.84648,1.13508,2640,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.86928,4.03202,10.96415,1240,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.67626,35.65829,4.69276,4880,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.68841,20.50499,9.12385,2760,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.60432,42.09437,4.62756,12360,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
11,CBOSS_Dilation,ECG200,0.8,15.36303,3.20213,2600,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.964,6.41248,24.30587,960,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.81633,4.55282,25.70232,400,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.61688,47.98574,5.50008,26200,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.78007,84.84517,9.64028,5160,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.48701,29.53394,5.25711,10280,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
17,CBOSS_Dilation,OliveOil,0.93333,4.7464,1.32303,3720,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
18,CBOSS_Dilation,Plane,1.0,10.3446,3.80872,57560,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.82439,46.30094,7.52376,21520,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.85223,43.03819,10.7067,10520,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.79024,47.9179,7.43839,10480,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.78,31.4975,8.66859,15720,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.97278,5.21837,34.76844,160,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
24,CBOSS_Dilation,Wine,0.7963,8.32848,1.95002,560,40,"[10, 30, 50, 70, 90, 110, 130]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.63429,5.49056,5.59816,5360,40,"[10, 40, 70, 100, 130, 160, 190]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
1,CBOSS_Dilation,Beef,0.26667,9.71442,1.19017,23880,40,"[10, 40, 70, 100, 130, 160, 190]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
2,CBOSS_Dilation,BeetleFly,0.9,23.20435,0.83373,16560,40,"[10, 40, 70, 100, 130, 160, 190]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
3,CBOSS_Dilation,BirdChicken,0.95,76.0206,0.80773,13480,40,"[10, 40, 70, 100, 130, 160, 190]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
4,CBOSS_Dilation,Car,0.81667,9.2881,2.26997,18280,40,"[10, 40, 70, 100, 130, 160, 190]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
