,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
2,TSF_Dilation,BeetleFly,0.55,12.03513,6.98657,79200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
3,TSF_Dilation,BirdChicken,0.5,11.09287,7.09686,79200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
4,TSF_Dilation,Car,0.23333,21.25885,8.88672,86400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
5,TSF_Dilation,CBF,0.54667,4.95375,8.78097,39600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
6,TSF_Dilation,Coffee,0.96429,8.63463,5.36655,57600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
7,TSF_Dilation,DiatomSizeReduction,0.87908,10.72122,10.40227,64800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.71942,15.40941,3.13441,28800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,28.52446,4.02858,28800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
10,TSF_Dilation,DistalPhalanxTW,0.68345,18.34556,3.2691,28800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
11,TSF_Dilation,ECG200,0.78,6.46308,3.41726,32400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
12,TSF_Dilation,ECGFiveDays,0.96283,7.38863,9.30203,39600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
13,TSF_Dilation,ItalyPowerDemand,0.9553,2.09754,2.59578,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.44156,18.52787,3.21665,28800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.42955,27.30448,3.95518,28800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
16,TSF_Dilation,MiddlePhalanxTW,0.44156,24.01883,3.39625,28800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
17,TSF_Dilation,OliveOil,0.7,13.98862,7.32433,82800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
18,TSF_Dilation,Plane,0.98095,10.86871,4.57556,43200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.81951,15.40358,3.43462,28800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.40206,24.28376,3.72731,28800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",6,200
