,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations_per_window,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
2,CBOSS_Dilation,BeetleFly,0.85,4.54836,0.90471,329,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
3,CBOSS_Dilation,BirdChicken,0.8,3.9896,0.86511,25,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
4,CBOSS_Dilation,Car,0.85,6.42179,2.32448,100,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
5,CBOSS_Dilation,CBF,0.99778,1.70994,25.40274,101,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
6,CBOSS_Dilation,Coffee,0.96429,2.47605,1.0796,66,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.87255,2.49082,9.80674,16,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.70504,2.41412,4.40349,73,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.73551,3.00004,8.52311,50,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.66906,2.39628,4.43954,63,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
11,CBOSS_Dilation,ECG200,0.84,1.81949,3.04997,51,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.99884,1.84326,24.88471,0,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.87172,1.37389,7.13591,9,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.6039,2.32815,4.79378,212,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.7079,2.81962,8.34595,40,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.55195,2.33808,4.82525,149,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
17,CBOSS_Dilation,OliveOil,0.86667,4.24022,1.13063,11,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
18,CBOSS_Dilation,Plane,0.99048,2.34473,3.5534,302,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.8439,2.32361,6.42522,64,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.83849,2.19411,9.1222,98,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.77561,1.63427,6.47498,86,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.95667,1.16399,6.15798,404,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.95259,0.77127,25.745,9,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
24,CBOSS_Dilation,Wine,0.7037,1.69989,1.5163,16,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[6],4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.84,2.67658,5.53428,25,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
1,CBOSS_Dilation,Beef,0.76667,5.2449,1.05702,63,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
2,CBOSS_Dilation,BeetleFly,0.8,4.54175,0.74804,58,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
3,CBOSS_Dilation,BirdChicken,0.9,4.78896,0.73822,20,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
4,CBOSS_Dilation,Car,0.83333,9.88421,2.08546,26,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
